_table,id,release_id,service,service_id,service_url,match_confidence,match_method,matched_at,last_verified_at,added_by_user_id,notes,source,source_id,source_url,type,image_url_small,image_url_medium,image_url_large,checksum,comment,approved,created_at,updated_at
release_streaming_links,6116d198-8c85-442c-820e-86758a71644b,c43718a3-e8e3-43c8-a302-9936ae5c2717,spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,,fuzzy_search,2026-04-29 17:47:50.324133+00:00,,,,,,,,,,,,,,2026-03-19 18:13:49.251209+00:00,2026-04-29 17:47:50.324133+00:00
release_imagery,d3ccc575-0117-4bb6-822d-d937be159065,c43718a3-e8e3-43c8-a302-9936ae5c2717,,,,,,,,,,Spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,Front,https://i.scdn.co/image/ab67616d00004851595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d00001e02595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d0000b273595ef9d4267d373aa987916b,,,True,2026-01-21 19:13:55.727358+00:00,2026-04-29 17:47:50.324133+00:00
release_streaming_links,4a7bc46e-4a6e-42e0-9cf8-bccaac80219d,19d935f6-b275-4ebe-a7be-4c04bcffb10f,spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,,fuzzy_search,2026-04-29 17:47:52.901911+00:00,,,,,,,,,,,,,,2026-03-19 18:13:52.301659+00:00,2026-04-29 17:47:52.901911+00:00
release_imagery,c0d056c3-1701-469c-ae9b-eb36ecd5323d,19d935f6-b275-4ebe-a7be-4c04bcffb10f,,,,,,,,,,Spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,Front,https://i.scdn.co/image/ab67616d00004851595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d00001e02595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d0000b273595ef9d4267d373aa987916b,,,True,2026-01-21 19:13:55.727358+00:00,2026-04-29 17:47:52.901911+00:00
release_streaming_links,6d2b377d-f2d5-469e-b342-8ca4c3aff0c7,6e0712ed-f0f5-484a-8b06-c33f705e7419,spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,,fuzzy_search,2026-04-29 17:47:55.329884+00:00,,,,,,,,,,,,,,2026-03-19 18:13:55.250777+00:00,2026-04-29 17:47:55.329884+00:00
release_imagery,45759eb2-8abc-469c-a9fa-a7838b53a086,6e0712ed-f0f5-484a-8b06-c33f705e7419,,,,,,,,,,Spotify,39ZPIDYNwj9B5x9eUpE2Ie,https://open.spotify.com/album/39ZPIDYNwj9B5x9eUpE2Ie,Front,https://i.scdn.co/image/ab67616d00004851595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d00001e02595ef9d4267d373aa987916b,https://i.scdn.co/image/ab67616d0000b273595ef9d4267d373aa987916b,,,True,2026-01-21 19:13:55.727358+00:00,2026-04-29 17:47:55.329884+00:00
release_streaming_links,07df9a67-c161-4a8c-b564-c4294b393a42,30c6d3f7-126e-48df-94d3-c406b53d0759,spotify,4ZJUujJNkQChPMUecepdCu,https://open.spotify.com/album/4ZJUujJNkQChPMUecepdCu,,legacy_backfill,2026-05-02 14:24:07.188732+00:00,,,,,,,,,,,,,,2026-05-02 14:24:07.188732+00:00,2026-05-02 14:24:07.188732+00:00
release_imagery,fe49cdea-5565-4f36-9cbd-4e33a0e15d91,30c6d3f7-126e-48df-94d3-c406b53d0759,,,,,,,,,,Spotify,4ZJUujJNkQChPMUecepdCu,https://open.spotify.com/album/4ZJUujJNkQChPMUecepdCu,Front,https://i.scdn.co/image/ab67616d00004851a3b9802705083353acfce3d3,https://i.scdn.co/image/ab67616d00001e02a3b9802705083353acfce3d3,https://i.scdn.co/image/ab67616d0000b273a3b9802705083353acfce3d3,,,True,2026-01-21 19:13:55.727358+00:00,2026-04-17 16:13:15.257930+00:00
release_streaming_links,79f7ec57-7150-4afe-9831-004e478bfcb9,2d7405ef-b1a5-41a2-9e21-28cc47e81f77,spotify,4VUawqEDCHHfrUe77ScQ2K,https://open.spotify.com/album/4VUawqEDCHHfrUe77ScQ2K,,legacy_backfill,2026-05-02 14:24:07.188732+00:00,,,,,,,,,,,,,,2026-05-02 14:24:07.188732+00:00,2026-05-02 14:24:07.188732+00:00
release_imagery,f35ce658-f289-4ea8-a028-9ed6cc41094d,2d7405ef-b1a5-41a2-9e21-28cc47e81f77,,,,,,,,,,Spotify,4VUawqEDCHHfrUe77ScQ2K,https://open.spotify.com/album/4VUawqEDCHHfrUe77ScQ2K,Front,https://i.scdn.co/image/ab67616d00004851cb6f92683ff9ad65f27a3f9f,https://i.scdn.co/image/ab67616d00001e02cb6f92683ff9ad65f27a3f9f,https://i.scdn.co/image/ab67616d0000b273cb6f92683ff9ad65f27a3f9f,,,True,2026-01-21 19:13:55.727358+00:00,2026-04-17 16:13:15.257930+00:00
